name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime
Movie250,PG,Comedy,1985,6.4,867945,Director D,Writer A,Actor B,USA,229289511,1344719784,Disney,132
Movie251,R,Animation,2023,8.9,1126209,Director D,Writer B,Actor D,USA,269455927,2809081881,Warner Bros,130
Movie252,PG,Action,2010,7.1,1352965,Director D,Writer A,Actor D,USA,271169097,1509951226,Universal,173
Movie253,R,Action,2010,9,1644875,Director A,Writer A,Actor C,USA,221991577,2088221428,Marvel,173
Movie254,PG-13,Romance,1999,6.9,1128491,Director C,Writer A,Actor B,USA,236633774,2322007242,Paramount,156
Movie255,PG-13,Comedy,1999,6.3,1185775,Director D,Writer C,Actor D,USA,6726115,666693161,Paramount,159
Movie256,PG,Drama,2004,8.1,563687,Director C,Writer B,Actor B,USA,298001005,1225056063,Universal,175
Movie257,G,Drama,2019,6.4,1175574,Director C,Writer B,Actor A,USA,170214705,2863210662,Paramount,157
Movie258,R,Crime,2000,8.8,192165,Director D,Writer A,Actor B,USA,157924249,2459872769,Paramount,110
Movie259,PG-13,Comedy,2002,7.4,392488,Director D,Writer A,Actor D,USA,142630419,2255609991,Marvel,155
Movie260,R,Action,2011,7.3,775936,Director D,Writer A,Actor B,USA,277561300,436239301,Universal,174
Movie261,PG,Drama,2009,7.3,1232457,Director A,Writer A,Actor A,USA,261093079,2312204399,Universal,101
Movie262,PG-13,Crime,2015,8.8,657644,Director C,Writer C,Actor C,USA,64969675,2703273077,Universal,139
Movie263,PG,Crime,2019,6.6,730419,Director D,Writer B,Actor A,USA,46919379,51874674,Warner Bros,108
Movie264,R,Sci-Fi,2014,9.2,427963,Director D,Writer B,Actor B,USA,63341958,1477444812,Disney,178
Movie265,G,Animation,2004,5,1050400,Director C,Writer C,Actor C,USA,287639972,2260923474,Warner Bros,143
Movie266,R,Romance,1989,8,1296171,Director B,Writer A,Actor B,USA,85061188,1713841359,Warner Bros,109
Movie267,R,Romance,1990,5.3,1173532,Director B,Writer C,Actor B,USA,248716355,31044836,Warner Bros,95
Movie268,R,Animation,1991,9,239425,Director C,Writer B,Actor A,USA,18826639,1027363924,Disney,171
Movie269,PG,Animation,2001,6.1,1324190,Director B,Writer B,Actor D,USA,27996869,2790588490,Paramount,165
Movie270,R,Animation,2021,9.1,747545,Director C,Writer C,Actor C,USA,110480275,1192666625,Marvel,165
Movie271,PG,Comedy,1984,9.5,168615,Director B,Writer C,Actor D,USA,54708091,2212164749,Warner Bros,178
Movie272,G,Animation,2014,9.4,1460720,Director C,Writer C,Actor B,USA,95341972,1279588533,Disney,105
Movie273,G,Crime,1996,9.1,1409156,Director D,Writer C,Actor A,USA,6967364,2021411208,Warner Bros,119
Movie274,PG-13,Comedy,2022,7.8,861235,Director D,Writer A,Actor A,USA,31597958,2981362312,Marvel,134
Movie275,G,Animation,2021,9.4,415943,Director C,Writer A,Actor B,USA,284560827,132252004,Paramount,118
Movie276,PG-13,Animation,1988,8.7,85599,Director A,Writer B,Actor A,USA,224976168,1964671432,Warner Bros,94
Movie277,G,Romance,2011,7.1,1513419,Director D,Writer C,Actor A,USA,182655629,760803659,Disney,137
Movie278,G,Animation,2003,7.5,591135,Director C,Writer A,Actor B,USA,25422095,364830250,Warner Bros,91
Movie279,PG,Romance,2006,9.1,1004132,Director C,Writer A,Actor C,USA,45651506,1933192023,Marvel,132
Movie280,R,Drama,2015,8.9,1258289,Director D,Writer B,Actor B,USA,204293796,1638124429,Marvel,149
Movie281,PG,Comedy,2018,8.7,835554,Director A,Writer B,Actor A,USA,26260286,2990424108,Disney,91
Movie282,PG,Animation,1995,7.9,1957994,Director D,Writer B,Actor C,USA,137938498,439761437,Paramount,154
Movie283,G,Animation,1999,6.7,1861160,Director B,Writer B,Actor C,USA,159974783,411676052,Warner Bros,90
Movie284,PG-13,Crime,2019,8.4,1103557,Director A,Writer C,Actor B,USA,150130627,2456786358,Disney,86
Movie285,PG,Romance,1985,6.8,1589771,Director A,Writer C,Actor A,USA,153112594,1810038903,Disney,126
Movie286,R,Sci-Fi,2006,6.7,1132201,Director A,Writer A,Actor C,USA,37287207,1289603273,Warner Bros,88
Movie287,PG-13,Romance,2003,8.2,426703,Director D,Writer B,Actor B,USA,94963080,594458649,Disney,101
Movie288,R,Comedy,2001,7.1,626398,Director C,Writer A,Actor D,USA,104995588,1449942576,Marvel,105
Movie289,G,Drama,1982,7.7,1258961,Director A,Writer C,Actor B,USA,140801450,2087736919,Warner Bros,104
Movie290,PG,Action,1991,5.8,40678,Director D,Writer B,Actor D,USA,259826404,2629249929,Marvel,155
Movie291,R,Drama,1995,7.8,1528191,Director B,Writer B,Actor D,USA,42968240,2823524458,Warner Bros,167
Movie292,R,Action,2003,5.9,122475,Director B,Writer A,Actor A,USA,67270067,771079665,Universal,94
Movie293,PG,Animation,1981,8.7,1059591,Director D,Writer C,Actor D,USA,119980522,2810438598,Disney,166
Movie294,PG,Crime,2008,9.5,646485,Director D,Writer A,Actor D,USA,183875702,1475984868,Paramount,171
Movie295,PG-13,Sci-Fi,1991,7.8,965333,Director B,Writer A,Actor A,USA,105419321,2443696252,Warner Bros,160
Movie296,G,Animation,2002,7,1722725,Director A,Writer A,Actor C,USA,272551980,2204144234,Marvel,174
Movie297,G,Comedy,1990,6.4,388695,Director D,Writer A,Actor B,USA,169408810,2472041805,Universal,113
Movie298,PG,Animation,2011,7.5,157482,Director D,Writer B,Actor B,USA,76858892,2212487223,Disney,85
Movie299,G,Drama,1995,9.3,1600913,Director C,Writer A,Actor B,USA,205728590,1191462616,Marvel,167
Movie300,G,Romance,2018,8.9,1287860,Director D,Writer C,Actor A,USA,257852921,1486074173,Disney,160
Movie301,G,Animation,1990,6.7,1293141,Director D,Writer B,Actor B,USA,2402483,305244576,Disney,83
Movie302,PG,Comedy,1982,7.6,154265,Director A,Writer B,Actor B,USA,287186946,824526920,Paramount,132
Movie303,R,Crime,2002,5.1,258591,Director B,Writer B,Actor B,USA,163237522,2892800114,Marvel,175
Movie304,PG-13,Comedy,1983,8.1,405898,Director C,Writer A,Actor C,USA,81514223,401066913,Warner Bros,156
Movie305,PG-13,Drama,1992,5.2,1495389,Director B,Writer C,Actor A,USA,288676823,433401294,Paramount,180
Movie306,R,Action,2014,6.5,1502394,Director D,Writer C,Actor D,USA,10467021,1072849698,Universal,109
Movie307,G,Sci-Fi,1981,8.7,1910369,Director C,Writer A,Actor C,USA,19934629,1992154313,Paramount,143
Movie308,R,Sci-Fi,2000,8.6,1899740,Director C,Writer B,Actor B,USA,204506226,2650809539,Marvel,177
Movie309,PG-13,Action,2010,8.9,719715,Director B,Writer B,Actor A,USA,269198795,2785381206,Warner Bros,144
Movie310,G,Action,1995,8.2,792181,Director D,Writer B,Actor C,USA,238807218,1457300813,Paramount,84
Movie311,PG,Romance,2009,5.3,1990173,Director A,Writer B,Actor D,USA,70998112,2165049380,Universal,124
Movie312,G,Drama,1992,8.3,404657,Director C,Writer A,Actor D,USA,258430388,278888395,Marvel,134
Movie313,R,Romance,1983,9.1,214507,Director B,Writer B,Actor A,USA,3248554,753349651,Disney,126
Movie314,PG,Drama,2007,9.4,899018,Director A,Writer C,Actor C,USA,163851495,413128495,Warner Bros,156
Movie315,PG-13,Animation,1988,8.4,69679,Director A,Writer C,Actor A,USA,85671381,2078627909,Warner Bros,151
Movie316,PG-13,Crime,1988,7.3,1458967,Director A,Writer C,Actor B,USA,210335324,2992052963,Marvel,176
Movie317,R,Comedy,2021,6.8,1700880,Director B,Writer A,Actor A,USA,146118206,547219223,Paramount,115
Movie318,R,Comedy,2022,6.9,1783549,Director C,Writer C,Actor D,USA,291957800,2731118530,Disney,121
Movie319,PG,Animation,1988,5.9,1266744,Director C,Writer A,Actor C,USA,216149038,1986961290,Warner Bros,179
Movie320,R,Crime,1997,6.8,1806949,Director C,Writer C,Actor D,USA,142462888,2141220906,Warner Bros,129
Movie321,PG,Action,1992,5.8,28442,Director A,Writer B,Actor D,USA,90429628,2607491710,Warner Bros,164
Movie322,PG-13,Animation,1998,5.6,1360567,Director D,Writer C,Actor B,USA,8266213,855613506,Disney,85
Movie323,G,Comedy,2021,6.3,1825108,Director D,Writer A,Actor A,USA,92021959,1460336294,Disney,133
Movie324,PG-13,Action,2001,9.3,938009,Director D,Writer A,Actor B,USA,84953157,2831114642,Warner Bros,135
Movie325,PG,Animation,2005,6.8,1181227,Director C,Writer B,Actor D,USA,31017191,2690298071,Marvel,118
Movie326,G,Romance,2013,7.4,1224285,Director C,Writer C,Actor D,USA,22803734,2431387164,Disney,133
Movie327,PG,Crime,2022,7.9,954052,Director B,Writer B,Actor D,USA,159710823,1210497419,Disney,133
Movie328,R,Comedy,1982,6.6,630020,Director A,Writer A,Actor B,USA,179034002,2245613146,Marvel,143
Movie329,PG,Animation,2022,8.7,886804,Director D,Writer B,Actor A,USA,3129062,1380488389,Paramount,82
Movie330,R,Comedy,1982,7.4,82191,Director D,Writer A,Actor C,USA,223354652,2441433768,Disney,155
Movie331,G,Animation,2006,5.1,1038967,Director A,Writer C,Actor D,USA,232518045,323646768,Universal,118
Movie332,R,Sci-Fi,1997,7.6,280922,Director C,Writer A,Actor D,USA,221300975,1024840488,Marvel,88
Movie333,R,Comedy,2021,5.3,1691120,Director A,Writer C,Actor D,USA,251483923,866121410,Marvel,179
Movie334,R,Crime,2017,7.1,214491,Director B,Writer A,Actor A,USA,128503730,2080042954,Marvel,146
Movie335,PG-13,Comedy,2010,5.9,853115,Director A,Writer C,Actor C,USA,218533419,2154589869,Marvel,82
Movie336,G,Sci-Fi,2005,6.5,1891,Director C,Writer B,Actor D,USA,66778383,2668127505,Marvel,107
Movie337,PG-13,Sci-Fi,1993,8.2,3668,Director B,Writer C,Actor A,USA,297703453,404291215,Disney,138
Movie338,PG-13,Animation,1987,5.4,543472,Director C,Writer B,Actor A,USA,93184100,327430910,Marvel,127
Movie339,G,Action,1999,8.4,252288,Director A,Writer A,Actor A,USA,253085964,1175458090,Paramount,126
Movie340,G,Action,2020,8,1153868,Director D,Writer B,Actor B,USA,96160488,2135284093,Disney,115
Movie341,G,Animation,1985,7.2,1574201,Director A,Writer A,Actor C,USA,222633140,830943142,Disney,156
Movie342,PG-13,Romance,1987,9.5,1771546,Director D,Writer C,Actor A,USA,10348234,1337033302,Marvel,125
Movie343,R,Crime,1996,9.1,1302826,Director B,Writer A,Actor D,USA,12658044,2636236407,Universal,152
Movie344,R,Animation,2002,5.1,1961677,Director B,Writer B,Actor A,USA,211181716,393059521,Paramount,136
Movie345,PG-13,Romance,1985,9,1258034,Director A,Writer B,Actor B,USA,260420377,2917950826,Universal,101
Movie346,R,Comedy,1988,8.4,478558,Director D,Writer C,Actor B,USA,162493254,897482160,Warner Bros,140
Movie347,PG,Romance,2010,7.8,878606,Director A,Writer C,Actor A,USA,224588939,1871935417,Paramount,166
Movie348,PG,Sci-Fi,1981,7.3,1436536,Director B,Writer A,Actor B,USA,238029290,1088964708,Universal,100
Movie349,R,Sci-Fi,2016,8.7,1251109,Director C,Writer A,Actor B,USA,294802148,2550175774,Disney,82
Movie350,R,Sci-Fi,2016,9.4,1764472,Director D,Writer B,Actor B,USA,121139960,581543065,Disney,147
Movie351,R,Drama,1987,8.3,1788859,Director C,Writer B,Actor D,USA,198782165,869320378,Warner Bros,152
Movie352,G,Romance,1999,5.5,766767,Director D,Writer C,Actor D,USA,201795932,2386223598,Warner Bros,102
Movie353,G,Sci-Fi,2013,6.2,1129558,Director A,Writer B,Actor B,USA,191051148,250769640,Universal,107
Movie354,G,Crime,2009,6.9,1396938,Director D,Writer A,Actor D,USA,27898592,300456356,Universal,117
Movie355,PG,Sci-Fi,1985,8.6,1416353,Director D,Writer B,Actor C,USA,219772722,2224490814,Universal,95
Movie356,G,Romance,2011,8.3,27228,Director A,Writer C,Actor C,USA,207568618,935296987,Marvel,180
Movie357,PG,Drama,1981,6.6,1769424,Director B,Writer C,Actor C,USA,193312803,1207653382,Warner Bros,116
Movie358,G,Drama,1981,7.8,109205,Director D,Writer A,Actor B,USA,258087933,2242891495,Warner Bros,180
Movie359,R,Crime,2013,6.4,1502128,Director A,Writer B,Actor B,USA,272598685,39722258,Warner Bros,152
Movie360,R,Comedy,2001,7.2,1101963,Director A,Writer B,Actor B,USA,274380213,2384242121,Marvel,83
Movie361,PG,Sci-Fi,2015,6.3,1092409,Director B,Writer B,Actor C,USA,215619643,133263975,Warner Bros,119
Movie362,G,Romance,1992,9,615416,Director B,Writer A,Actor A,USA,38357071,2115291717,Universal,100
Movie363,G,Crime,2017,9.1,383387,Director D,Writer A,Actor B,USA,41288255,1068968032,Disney,145
Movie364,PG,Animation,1996,9.5,114338,Director C,Writer B,Actor A,USA,33605428,1634757276,Disney,133
Movie365,G,Comedy,2022,6.1,1524213,Director A,Writer B,Actor C,USA,103143712,985890007,Paramount,166
Movie366,G,Action,1987,5.9,1770128,Director A,Writer A,Actor C,USA,209157079,2890617902,Paramount,137
Movie367,PG-13,Sci-Fi,2020,7.2,1192769,Director D,Writer A,Actor A,USA,158725882,18311290,Warner Bros,155
Movie368,PG-13,Sci-Fi,1981,7.5,1704825,Director D,Writer B,Actor D,USA,152664491,2181476717,Marvel,125
Movie369,R,Comedy,2002,6.7,556390,Director C,Writer C,Actor B,USA,220469641,1867177007,Universal,172
Movie370,R,Animation,2009,6.3,113336,Director B,Writer B,Actor C,USA,42766011,673216523,Disney,125
Movie371,G,Animation,1990,7.8,1257931,Director C,Writer C,Actor C,USA,39928240,2462086523,Paramount,166
Movie372,G,Sci-Fi,2008,5.5,1562082,Director A,Writer C,Actor C,USA,218499669,1152449634,Marvel,94
Movie373,PG,Crime,1985,8.8,790484,Director C,Writer B,Actor A,USA,234440975,1078882350,Paramount,143
Movie374,PG-13,Crime,2001,5,1251447,Director C,Writer B,Actor D,USA,141724171,901150057,Warner Bros,116
Movie375,PG,Drama,2016,5.9,502634,Director A,Writer A,Actor C,USA,144735260,256761450,Universal,83
Movie376,G,Animation,2015,8.3,815208,Director C,Writer A,Actor D,USA,196308536,2679783624,Paramount,85
Movie377,G,Crime,2001,5.3,1275280,Director B,Writer C,Actor B,USA,141977470,1925620098,Warner Bros,153
Movie378,PG-13,Action,2002,9.2,1594050,Director A,Writer A,Actor A,USA,236374231,212256115,Disney,135
Movie379,PG-13,Animation,1987,6,982548,Director D,Writer C,Actor A,USA,125428995,456397824,Universal,105
Movie380,PG-13,Drama,1998,5.2,1649151,Director A,Writer A,Actor B,USA,69465221,242882045,Warner Bros,147
Movie381,G,Romance,1988,8.3,1911516,Director D,Writer C,Actor B,USA,169602782,582999115,Marvel,180
Movie382,G,Crime,2016,6.6,1815782,Director D,Writer A,Actor D,USA,181699733,1802244738,Universal,80
Movie383,PG-13,Animation,1999,9,1220992,Director C,Writer C,Actor D,USA,212786836,1036086462,Disney,98
Movie384,R,Sci-Fi,2011,8.7,898223,Director B,Writer A,Actor A,USA,114536985,1257282982,Warner Bros,148
Movie385,R,Action,2023,6.6,1361806,Director B,Writer C,Actor C,USA,168434463,1150019596,Marvel,173
Movie386,R,Sci-Fi,2009,6.3,1019146,Director A,Writer B,Actor D,USA,41383338,1063864541,Paramount,115
Movie387,PG-13,Sci-Fi,2001,7.8,1959406,Director B,Writer B,Actor D,USA,268085756,636602062,Paramount,180
Movie388,PG,Comedy,1987,7.9,1512464,Director D,Writer A,Actor C,USA,75217628,2511107008,Disney,143
Movie389,PG,Action,1990,8.1,1994698,Director A,Writer B,Actor B,USA,23532620,274643228,Warner Bros,137
Movie390,R,Crime,2023,7.6,1221217,Director A,Writer B,Actor C,USA,270448527,1156291556,Disney,154
Movie391,PG-13,Animation,1995,6,1244941,Director B,Writer C,Actor B,USA,27697942,1959769897,Marvel,161
Movie392,R,Sci-Fi,2004,7.2,11234,Director B,Writer C,Actor D,USA,27495031,2458878477,Paramount,149
Movie393,PG,Crime,1981,8.8,1467894,Director B,Writer A,Actor A,USA,255637417,1278602622,Disney,114
Movie394,R,Animation,1985,9.4,1548379,Director B,Writer B,Actor B,USA,122218226,2660956072,Universal,107
Movie395,PG-13,Drama,2004,7.9,124131,Director C,Writer B,Actor D,USA,236067467,2583327951,Paramount,174
Movie396,R,Crime,1997,7.6,671491,Director A,Writer C,Actor D,USA,84370750,1506346659,Marvel,123
Movie397,R,Romance,2008,6.8,1567715,Director A,Writer A,Actor B,USA,74099070,2717691417,Paramount,135
Movie398,G,Sci-Fi,1998,6.3,1137275,Director C,Writer B,Actor C,USA,17972908,2183056518,Warner Bros,109
Movie399,G,Action,1999,5.7,1228749,Director C,Writer B,Actor A,USA,223870884,2184635384,Universal,156
Movie400,G,Action,2007,5.1,954418,Director A,Writer B,Actor A,USA,109339620,254740969,Universal,166
Movie401,PG-13,Animation,1989,9.1,1607699,Director B,Writer C,Actor D,USA,65941736,1683846143,Disney,172
Movie402,PG,Romance,1986,9.1,1660117,Director A,Writer B,Actor C,USA,292815232,2667422602,Warner Bros,121
Movie403,G,Sci-Fi,1992,9.2,419140,Director C,Writer C,Actor C,USA,68103225,439855534,Paramount,92
Movie404,PG,Crime,1993,7.2,899691,Director B,Writer C,Actor B,USA,244254941,2464246343,Universal,171
Movie405,R,Drama,2012,8.7,162556,Director B,Writer C,Actor A,USA,115635155,2729768603,Universal,94
Movie406,PG-13,Comedy,2000,6.5,883071,Director A,Writer A,Actor A,USA,67139133,1753679393,Paramount,139
Movie407,PG-13,Action,1988,6,1544317,Director C,Writer C,Actor D,USA,115110303,1426995933,Marvel,109
Movie408,PG-13,Crime,1991,8.1,1489785,Director A,Writer B,Actor D,USA,152529094,862034928,Universal,141
Movie409,PG-13,Action,2003,6.6,426552,Director C,Writer A,Actor A,USA,74296885,2254043,Warner Bros,153
Movie410,R,Animation,1993,7.8,931683,Director D,Writer A,Actor B,USA,108555409,2528867161,Disney,132
Movie411,PG,Drama,2023,6.3,1490455,Director C,Writer B,Actor B,USA,267128874,210658657,Universal,157
Movie412,G,Comedy,2008,5.2,686699,Director A,Writer A,Actor D,USA,116840914,1603586101,Marvel,101
Movie413,R,Sci-Fi,1985,9.4,286453,Director D,Writer A,Actor A,USA,138436258,2318274390,Marvel,88
Movie414,G,Drama,2008,8.1,1947609,Director C,Writer C,Actor A,USA,49440654,895310079,Disney,139
Movie415,PG-13,Animation,1988,7.6,527899,Director C,Writer C,Actor D,USA,113242412,2358477229,Warner Bros,151
Movie416,PG-13,Animation,1989,8.4,1685260,Director B,Writer B,Actor C,USA,13599433,909061931,Marvel,167
Movie417,R,Animation,2016,6.1,949642,Director D,Writer B,Actor C,USA,166828658,853310149,Paramount,138
Movie418,PG,Crime,1996,7.3,95275,Director A,Writer B,Actor C,USA,92657300,985963147,Universal,107
Movie419,G,Comedy,1996,8.2,1076645,Director C,Writer A,Actor D,USA,165188097,1135498795,Universal,131
Movie420,PG,Crime,1995,8.4,1294343,Director C,Writer C,Actor D,USA,26743594,420140017,Universal,99
Movie421,R,Action,1984,6.6,1343120,Director A,Writer B,Actor C,USA,269860608,2674002652,Marvel,169
Movie422,R,Comedy,2001,9.3,1402189,Director D,Writer C,Actor B,USA,135937328,620354159,Paramount,95
Movie423,PG-13,Comedy,2009,7.6,51700,Director C,Writer A,Actor A,USA,106142019,1495850553,Paramount,155
Movie424,PG,Action,2002,5.9,235296,Director C,Writer C,Actor D,USA,163991567,746746785,Marvel,89
Movie425,G,Comedy,2006,6.8,1876777,Director A,Writer A,Actor C,USA,2909868,1762505662,Disney,175
Movie426,G,Drama,1991,8.8,258324,Director A,Writer A,Actor B,USA,169228061,662767219,Paramount,161
Movie427,PG-13,Drama,1999,7.9,1443035,Director B,Writer B,Actor C,USA,201234827,331769516,Warner Bros,175
Movie428,PG,Romance,2020,9,1464080,Director B,Writer A,Actor B,USA,230469465,243361044,Warner Bros,96
Movie429,PG,Comedy,1983,7.4,983117,Director A,Writer A,Actor A,USA,209469883,334277219,Disney,177
Movie430,G,Romance,2005,5.7,523776,Director C,Writer B,Actor D,USA,9414822,421382431,Warner Bros,146
Movie431,R,Drama,1995,5.8,1755513,Director B,Writer A,Actor A,USA,90447195,278151595,Warner Bros,162
Movie432,R,Crime,1985,8,246602,Director D,Writer B,Actor B,USA,48161240,2048413813,Paramount,164
Movie433,PG-13,Drama,2006,8.5,1371733,Director C,Writer A,Actor D,USA,12795705,1540262785,Universal,152
Movie434,PG-13,Action,2001,8.5,1586908,Director D,Writer B,Actor D,USA,297661506,2804318224,Warner Bros,148
Movie435,PG,Comedy,1995,6.4,1310918,Director D,Writer A,Actor D,USA,39357853,602011405,Warner Bros,99
Movie436,PG,Drama,1988,5.5,856605,Director A,Writer C,Actor C,USA,263052101,1840241072,Marvel,150
Movie437,R,Drama,2021,7.9,1576193,Director B,Writer C,Actor A,USA,195488175,2251353159,Disney,133
Movie438,G,Sci-Fi,1995,7.2,172593,Director C,Writer A,Actor B,USA,119998534,2898418817,Paramount,173
Movie439,PG,Sci-Fi,2008,7.6,1245817,Director B,Writer C,Actor B,USA,45173738,301500650,Marvel,155
Movie440,R,Romance,2020,6.1,1795436,Director C,Writer B,Actor A,USA,200133904,1770671468,Warner Bros,86
Movie441,G,Drama,1980,5.5,596413,Director A,Writer C,Actor D,USA,4462868,1997588838,Warner Bros,170
Movie442,R,Animation,2021,8.8,485327,Director B,Writer A,Actor D,USA,295199022,2128905517,Disney,100
Movie443,R,Drama,2022,5.7,837604,Director A,Writer A,Actor B,USA,230135539,1280150423,Marvel,148
Movie444,G,Crime,2003,8.8,1391596,Director C,Writer A,Actor B,USA,98970021,2733512033,Paramount,87
Movie445,PG-13,Sci-Fi,2000,9.3,1490387,Director C,Writer B,Actor A,USA,164310732,1060111349,Paramount,117
Movie446,G,Comedy,2007,7.3,1289584,Director D,Writer A,Actor B,USA,106436840,1645885899,Marvel,135
Movie447,R,Animation,2023,5.8,777584,Director A,Writer C,Actor D,USA,18098360,730944479,Universal,155
Movie448,PG-13,Romance,1991,5.3,1018564,Director B,Writer B,Actor D,USA,224596641,2262505058,Warner Bros,133
Movie449,R,Animation,2021,6.3,1269624,Director A,Writer A,Actor B,USA,22665316,2220062735,Universal,97
Movie450,G,Crime,1982,7.7,382538,Director A,Writer C,Actor B,USA,46977278,2369106366,Warner Bros,94
Movie451,R,Comedy,1995,7.7,406096,Director C,Writer B,Actor B,USA,145367981,1996466954,Warner Bros,120
Movie452,R,Crime,2001,8.2,1494071,Director C,Writer A,Actor A,USA,294628673,1965425432,Warner Bros,139
Movie453,G,Comedy,1982,8.2,735449,Director B,Writer A,Actor D,USA,54156768,1390497877,Paramount,125
Movie454,PG-13,Drama,2023,6.9,578301,Director D,Writer B,Actor C,USA,123582523,758403646,Universal,176
Movie455,PG,Animation,1987,5.2,1895141,Director D,Writer B,Actor C,USA,76631119,255125379,Paramount,120
Movie456,PG-13,Drama,2023,5.5,1527479,Director C,Writer C,Actor C,USA,117792549,2552068772,Warner Bros,106
Movie457,PG-13,Sci-Fi,1987,7.6,211016,Director B,Writer B,Actor D,USA,168255345,2300608450,Marvel,145
Movie458,R,Comedy,2015,7.8,1305206,Director C,Writer C,Actor B,USA,190724705,1544957629,Marvel,103
Movie459,PG,Sci-Fi,2020,6.8,1326560,Director A,Writer A,Actor C,USA,41954037,215464141,Disney,132
Movie460,G,Action,1999,6.1,14111,Director B,Writer A,Actor A,USA,276875173,2268904336,Warner Bros,101
Movie461,PG-13,Action,2007,5.2,1038323,Director B,Writer B,Actor D,USA,152316879,124660560,Disney,169
Movie462,R,Comedy,2010,8.5,605213,Director D,Writer B,Actor D,USA,77276816,353207904,Universal,107
Movie463,G,Animation,1999,7.9,1164027,Director A,Writer B,Actor A,USA,81692215,2026301314,Warner Bros,89
Movie464,G,Drama,2020,8.3,880388,Director A,Writer B,Actor A,USA,260091481,2058097642,Marvel,142
Movie465,PG-13,Animation,2006,6.8,1460889,Director A,Writer B,Actor B,USA,124244257,1638226545,Paramount,89
Movie466,PG-13,Comedy,2001,7,1724258,Director D,Writer B,Actor C,USA,270702371,2310870705,Paramount,145
Movie467,PG,Sci-Fi,2017,7.1,473233,Director C,Writer A,Actor D,USA,155055275,2911255610,Marvel,122
Movie468,G,Sci-Fi,2021,5.6,358301,Director A,Writer A,Actor B,USA,55784426,2613378212,Marvel,85
Movie469,PG,Comedy,1982,7.7,245921,Director B,Writer B,Actor A,USA,19260147,1587014262,Paramount,176
Movie470,G,Romance,1987,5.4,1754703,Director A,Writer B,Actor C,USA,9118762,282950906,Paramount,104
Movie471,PG,Comedy,2006,9,1048119,Director D,Writer C,Actor C,USA,124988364,2836955780,Disney,137
Movie472,R,Animation,1988,9.3,39467,Director C,Writer B,Actor D,USA,272712813,2260011133,Universal,161
Movie473,PG,Sci-Fi,2001,8.8,1767970,Director B,Writer B,Actor A,USA,194052830,321699453,Disney,151
Movie474,PG,Animation,2012,8.1,1287235,Director D,Writer B,Actor C,USA,270336098,509579416,Marvel,127
Movie475,R,Action,2003,8.9,836435,Director C,Writer B,Actor A,USA,252326167,2254784916,Disney,178
Movie476,R,Comedy,2018,6.6,791917,Director B,Writer B,Actor B,USA,95778315,489247096,Universal,112
Movie477,G,Sci-Fi,1982,6.1,1983539,Director A,Writer B,Actor D,USA,159661825,2299031997,Warner Bros,177
Movie478,R,Romance,2004,6.1,1759249,Director C,Writer A,Actor D,USA,187669866,349903837,Warner Bros,119
Movie479,PG,Crime,2004,5.7,1515096,Director B,Writer A,Actor D,USA,119802368,481655052,Universal,155
Movie480,R,Action,1993,5.1,744453,Director A,Writer B,Actor D,USA,243324945,2042852684,Marvel,171
Movie481,G,Sci-Fi,2008,8.1,777792,Director A,Writer A,Actor D,USA,219905968,918600129,Paramount,89
Movie482,G,Animation,2003,5.1,1542977,Director D,Writer C,Actor D,USA,65642308,1447696157,Universal,110
Movie483,PG,Comedy,2022,8.7,1303758,Director D,Writer C,Actor C,USA,120371576,2145004228,Paramount,174
Movie484,PG-13,Animation,2005,8,78023,Director C,Writer C,Actor D,USA,202941511,1636244049,Marvel,174
Movie485,PG,Animation,1986,6.4,572709,Director C,Writer A,Actor A,USA,84473736,922635388,Paramount,107
Movie486,R,Animation,2019,6.9,750141,Director C,Writer C,Actor D,USA,292194732,1422818244,Marvel,158
Movie487,R,Sci-Fi,1985,6.2,1116216,Director B,Writer C,Actor A,USA,151992217,2946676441,Marvel,128
Movie488,R,Animation,1981,5.8,1209097,Director D,Writer B,Actor B,USA,74401425,1914301257,Marvel,133
Movie489,G,Action,2023,6.1,1872001,Director B,Writer B,Actor A,USA,41626385,370082301,Warner Bros,164
Movie490,G,Sci-Fi,2014,5.8,388895,Director B,Writer C,Actor D,USA,167933913,299042759,Universal,111
Movie491,PG-13,Drama,1996,6,239769,Director A,Writer C,Actor A,USA,238265531,1957212341,Paramount,89
Movie492,PG-13,Comedy,1981,7.1,375312,Director B,Writer A,Actor B,USA,42850995,2275875353,Disney,97
Movie493,G,Romance,1997,7,1169662,Director D,Writer B,Actor A,USA,24361467,1377720881,Universal,113
Movie494,PG-13,Action,1995,8.9,1739785,Director A,Writer A,Actor C,USA,213324839,2040166604,Warner Bros,176
Movie495,R,Romance,2008,9.3,1230052,Director B,Writer B,Actor A,USA,274158603,796731044,Paramount,159
Movie496,G,Crime,2008,6.7,683212,Director A,Writer B,Actor D,USA,219855690,2172641317,Paramount,156
Movie497,PG,Action,1986,5.6,351805,Director A,Writer B,Actor D,USA,92630743,831122748,Disney,117
Movie498,G,Comedy,2005,8.1,810357,Director B,Writer C,Actor B,USA,271090890,294452516,Warner Bros,168
Movie499,R,Romance,2001,9.3,311287,Director C,Writer B,Actor D,USA,134172341,1763784216,Paramount,153
